condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high
cm3_12w,ct_dyads,control_tower,6,3,scrap_value,2546279.8306667167,1309477.9192355487,3783081.7420978844
cm3_12w,ct_dyads,control_tower,6,3,bullwhip_DC,-1.4517034824585084,-1.5152724490790577,-1.3881345158379592
cm3_12w,ct_dyads,control_tower,6,3,bullwhip_MFG,-3.3704222612279975,-3.593503230574416,-3.147341291881579
cm3_12w,ct_dyads,control_tower,6,3,bullwhip_CM,-14.903192712979637,-16.428228254283336,-13.378157171675937
cm3_12w,ct_downstream_chain,control_tower,6,1,network_profit,75917911.96933289,48055002.0923663,103780821.84629947
cm3_12w,ct_downstream_chain,control_tower,6,1,network_profit_with_inventory,80632322.06094335,56488246.22705717,104776397.89482954
cm3_12w,ct_downstream_chain,control_tower,6,1,satisfaction_index,0.0007838577339058129,0.0005959768108496565,0.0009717386569619692
cm3_12w,ct_downstream_chain,control_tower,6,1,fill_rate,0.0015502870912178354,0.001172637590481929,0.0019279365919537418
cm3_12w,ct_downstream_chain,control_tower,6,1,retail_on_time_rate,-9.82858263673947e-06,-7.728760583862788e-05,5.763044056514893e-05
cm3_12w,ct_downstream_chain,control_tower,6,1,quality_mean,5.831381543963676e-05,-2.2275822253003694e-05,0.0001389034531322772
cm3_12w,ct_downstream_chain,control_tower,6,1,costs_tech,7423999.979999999,7423999.979999998,7423999.9799999995
cm3_12w,ct_downstream_chain,control_tower,6,1,costs_stockout,-29871559.556,-37152271.88396822,-22590847.22803178
cm3_12w,ct_downstream_chain,control_tower,6,1,costs_holding,9078892.718000023,6652893.63070924,11504891.805290805
cm3_12w,ct_downstream_chain,control_tower,6,1,scrap_value,7802542.968666697,5994249.698531387,9610836.238802006
cm3_12w,ct_downstream_chain,control_tower,6,1,bullwhip_DC,-1.0880259822487,-1.1446638597164203,-1.0313881047809796
cm3_12w,ct_downstream_chain,control_tower,6,1,bullwhip_MFG,-5.863108060899496,-6.170034599560215,-5.556181522238776
cm3_12w,ct_downstream_chain,control_tower,6,1,bullwhip_CM,-22.87617799538633,-24.55883002401041,-21.193525966762248
cm3_12w,ct_upstream_chain,control_tower,6,1,network_profit,45853981.353999585,22757317.128081698,68950645.57991748
cm3_12w,ct_upstream_chain,control_tower,6,1,network_profit_with_inventory,50090660.44211273,29984421.14224911,70196899.74197635
cm3_12w,ct_upstream_chain,control_tower,6,1,satisfaction_index,0.0007885052316885115,0.0006205638784035901,0.0009564465849734329
cm3_12w,ct_upstream_chain,control_tower,6,1,fill_rate,0.0014374861235577445,0.0011023130224896403,0.0017726592246258487
cm3_12w,ct_upstream_chain,control_tower,6,1,retail_on_time_rate,4.8633968697224066e-05,-6.110403538523981e-06,0.00010337834093297212
cm3_12w,ct_upstream_chain,control_tower,6,1,quality_mean,0.00027585989650214714,0.00018633041679230988,0.0003653893762119844
cm3_12w,ct_upstream_chain,control_tower,6,1,costs_tech,9984000.0,9984000.0,9984000.0
cm3_12w,ct_upstream_chain,control_tower,6,1,costs_stockout,-27695831.69766668,-34155756.793808416,-21235906.60152494
cm3_12w,ct_upstream_chain,control_tower,6,1,costs_holding,24331968.427000023,21672069.305385612,26991867.548614435
cm3_12w,ct_upstream_chain,control_tower,6,1,scrap_value,14062992.30466671,11777267.544298772,16348717.065034647
cm3_12w,ct_upstream_chain,control_tower,6,1,bullwhip_DC,-0.055306676120525644,-0.09416337800181167,-0.01644997423923962
cm3_12w,ct_upstream_chain,control_tower,6,1,bullwhip_MFG,-4.111770828121268,-4.357435871798672,-3.866105784443864
cm3_12w,ct_upstream_chain,control_tower,6,1,bullwhip_CM,-47.39180112964914,-49.90384159480689,-44.879760664491386
cm3_12w,bc_scattered,blockchain,6,6,network_profit,-1536000.0,-1536000.0,-1536000.0
cm3_12w,bc_scattered,blockchain,6,6,network_profit_with_inventory,-1536000.0,-1536000.0,-1536000.0
cm3_12w,bc_scattered,blockchain,6,6,satisfaction_index,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,fill_rate,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,retail_on_time_rate,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,quality_mean,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,costs_tech,1536000.0,1536000.0,1536000.0
cm3_12w,bc_scattered,blockchain,6,6,costs_stockout,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,costs_holding,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,scrap_value,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,bullwhip_DC,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,bullwhip_MFG,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,bullwhip_CM,0.0,0.0,0.0
cm3_12w,bc_dyads,blockchain,6,3,network_profit,12721142.202666728,12595534.071518287,12846750.333815169
cm3_12w,bc_dyads,blockchain,6,3,network_profit_with_inventory,13137783.117121886,13034116.625167526,13241449.609076247
cm3_12w,bc_dyads,blockchain,6,3,satisfaction_index,4.199259790712192e-05,4.13508356825439e-05,4.263436013169994e-05
