condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high,git_commit,git_dirty,run_date
calm,bc_all,blockchain,34,1,bullwhip_MFG,-9.788507952196805e-05,-0.00035984836836574813,0.00016407820932181206,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,bullwhip_CM,0.00013784636528602808,-0.004838759596333434,0.005114452326905491,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,network_profit,-3875420.0,-4134655.652178722,-3616184.347821278,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,network_profit_with_inventory,-3875420.0,-4134655.652178722,-3616184.347821278,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,satisfaction_index,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,fill_rate,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,retail_on_time_rate,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,quality_mean,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,costs_tech,3875420.0,3616184.347821278,4134655.652178722,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,costs_stockout,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,costs_holding,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,scrap_value,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,bullwhip_DC,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,bullwhip_MFG,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_scattered,control_tower,6,6,bullwhip_CM,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
cm3_12w,ct_dyads,control_tower,6,3,network_profit,178425.87566655476,-8634150.489299562,8991002.240632672,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
